Year,Quarter,Month,Day,Sum of Close_Pct_Change,Sum of Low,Sum of Volume,Sum of Quarter
1978,Qtr 4,November,15,0.000979105601330299,-1.816704692690093,-0.8855734204895405,12
1978,Qtr 4,November,16,0.02128354021406076,-1.8137676148222832,-0.8855734204895405,12
1978,Qtr 4,November,17,0.024214019899136074,-1.8114849590893485,-0.8855734204895405,12
1978,Qtr 4,November,20,0.018772355520751516,-1.8094524670073646,-0.8855734204895405,12
1978,Qtr 4,November,21,0.000495081365178951,-1.8084965392452683,-0.8855734204895405,12
1978,Qtr 4,November,22,0.016317069437735032,-1.8054522465016534,-0.8855734204895405,12
1978,Qtr 4,November,23,0,,,4
1978,Qtr 4,November,24,0.011789517318706366,-1.804387962198847,-0.8855734204895405,12
1978,Qtr 4,November,27,-0.00047643909419259334,-1.80493852297992,-0.8855734204895405,12
1978,Qtr 4,November,28,-0.01693760543934908,-1.8093028418991448,-0.8855734204895405,12
1978,Qtr 4,November,29,-0.026925939944975497,-1.8101895563799317,-0.8855734204895405,12
1978,Qtr 4,November,30,0.018463494711970396,-1.8072144588260965,-0.8855734204895405,12
1978,Qtr 4,December,1,0.0356434532792167,-1.8020639502326534,-0.8855734204895405,12
1978,Qtr 4,December,4,0.011501007557773169,-1.7960557910902293,-0.8855734204895405,12
1978,Qtr 4,December,5,0.02199527755224362,-1.7955298121201597,-0.8855734204895405,12
1978,Qtr 4,December,6,0.007623488662051758,-1.7955565893718721,-0.8855734204895405,12
1978,Qtr 4,December,7,-0.001447272489942364,-1.7947391229036658,-0.8855734204895405,12
1978,Qtr 4,December,8,-0.00014835463029871931,-1.7933710878370586,-0.8855734204895405,12
1978,Qtr 4,December,11,0.011450917017518769,-1.7905691515789992,-0.8855734204895405,12
1978,Qtr 4,December,12,-0.013519489066854185,-1.7929534654076993,-0.8855734204895405,12
1978,Qtr 4,December,13,-0.005902737283461579,-1.7913509099450464,-0.8855734204895405,12
1978,Qtr 4,December,14,-0.0023849558902425683,-1.7928596365892,-0.8855734204895405,12
1978,Qtr 4,December,15,-0.022325954826645455,-1.7993859966837633,-0.8855734204895405,12
1978,Qtr 4,December,18,-0.05566634316741492,-1.8068370151170585,-0.8855734204895405,12
1978,Qtr 4,December,19,0.011594742398985503,-1.8058006805534768,-0.8855734204895405,12
1978,Qtr 4,December,20,0.008270999789328548,-1.806408186101418,-0.8855734204895405,12
1978,Qtr 4,December,21,-0.011090456552760974,-1.8176115337750247,-0.8855734204895405,12
1978,Qtr 4,December,22,0.027863382626772237,-1.8152093675145484,-0.8855734204895405,12
1978,Qtr 4,December,25,0.000689982814084722,-0.19204386424027334,-0.29519114016318015,4
1978,Qtr 4,December,26,0.02371541504488439,-1.8098154057761193,-0.8855734204895405,12
1978,Qtr 4,December,27,-0.0024215585793117,-1.8044259180061362,-0.8855734204895405,12
1978,Qtr 4,December,28,-0.0005181582381154071,-1.8021454902116592,-0.8855734204895405,12
1978,Qtr 4,December,29,0.004669627680399913,-1.802141018030031,-0.8855734204895405,12
1979,Qtr 1,January,1,0,,,1
1979,Qtr 1,January,2,0.004598482809879401,-1.6224217339949987,-0.5903822803263603,3
