Year,Quarter,Month,Day,Sum of Open,Sum of Close,Sum of High,Sum of Low
1965,Qtr 3,September,21,-0.7107927934625093,-0.7106827380168518,-0.7115263483037696,-0.7096738273569169
1965,Qtr 3,September,22,-0.7109137470766257,-0.7108036912077608,-0.7116465660600284,-0.7097955505232887
1965,Qtr 3,September,24,-0.7118858460863144,-0.7117757868161518,-0.7126127510116745,-0.7107738343914533
1965,Qtr 3,September,27,-0.7129944360748877,-0.712884372925856,-0.7137145965580947,-0.7118894776452994
1965,Qtr 3,September,28,-0.710944821917132,-0.7108347659395388,-0.7116774518473534,-0.7098268230735846
1965,Qtr 3,September,29,-0.7127281051088581,-0.7126180428916977,-0.7134498858969682,-0.7116214521817792
1965,Qtr 3,September,30,-0.7140675216302748,-0.7139574547266015,-0.7147811536732755,-0.7129693905734401
1965,Qtr 4,October,1,-0.7155800443742617,-0.7154699721783907,-0.7162844745281446,-0.714491536554381
1965,Qtr 4,October,4,-0.7162048064789903,-0.7160947320971258,-0.7169054357038387,-0.7151202736299307
1965,Qtr 4,October,5,-0.7176019159010705,-0.7174918366308304,-0.7182940453886166,-0.7165262719861263
1965,Qtr 4,October,6,-0.7164911044024677,-0.7163810290188694,-0.7171899918473943,-0.7154083930881705
1965,Qtr 4,October,7,-0.7158741177492981,-0.7157640445244874,-0.7165767588189502,-0.7147874809345186
1965,Qtr 4,October,8,-0.7169116853331494,-0.7168016084779717,-0.7176080140469069,-0.715831649912468
1965,Qtr 4,October,12,-0.7129544883997021,-0.7128444253904443,-0.7136748919166612,-0.7118492758080224
1965,Qtr 4,October,13,-0.7102279595287638,-0.7101179060594157,-0.7109649507079232,-0.7091053997378495
1965,Qtr 4,October,14,-0.7118691978000763,-0.7117591385881649,-0.7125962040103161,-0.7107570801825742
1965,Qtr 4,October,15,-0.7107239925678173,-0.7106139373628885,-0.7114579659801084,-0.7096045887251297
1965,Qtr 4,October,18,-0.7112821752878833,-0.7111721181299173,-0.7120127528269434,-0.7101663228130016
1965,Qtr 4,October,19,-0.7107828099283005,-0.7106727545175745,-0.7115164255074076,-0.709663780303719
1965,Qtr 4,October,20,-0.7119557576805363,-0.7118456981657586,-0.7126822372775895,-0.7108441907894573
1965,Qtr 4,October,21,-0.7120145751519896,-0.7119045154314142,-0.7127406969151836,-0.7109033824797227
1965,Qtr 4,October,22,-0.7121677144171121,-0.7120576541607144,-0.712892904511316,-0.7110574960742834
1965,Qtr 4,October,25,-0.7141685081759731,-0.714058440918956,-0.7148815258368104,-0.7130710196334161
1965,Qtr 4,October,26,-0.7128468507512944,-0.7127367881186523,-0.71356790911441,-0.711740953328527
1965,Qtr 4,October,27,-0.7114397441456856,-0.7113296864363984,-0.71216936306699,-0.7103248941829718
1965,Qtr 4,October,28,-0.7111123878474929,-0.7110023312835997,-0.7118439983397473,-0.7099954551212383
1965,Qtr 4,October,29,-0.7110779805754869,-0.710967924131982,-0.7118098003947766,-0.7099608289372638
1965,Qtr 4,November,1,-0.7091559847838766,-0.7090459350652835,-0.7098994976452908,-0.7080266046876018
1965,Qtr 4,November,2,-0.7095332857188433,-0.709423234680104,-0.7102745031560193,-0.7084063061526197
1965,Qtr 4,November,4,-0.7090849622681847,-0.7089749127980938,-0.7098289072165325,-0.7079551303000288
1965,Qtr 4,November,5,-0.7097330237618606,-0.7096229720242537,-0.7104730260323016,-0.7086073150039764
1965,Qtr 4,November,8,-0.7073460562333538,-0.7072360128475579,-0.7081005803419704,-0.7062051606928446
1965,Qtr 4,November,9,-0.7061131803101349,-0.7060031412380745,-0.7068752049919407,-0.7049644407506243
1965,Qtr 4,November,10,-0.7054973044674652,-0.7053872675503058,-0.7062630760160451,-0.7043446464748653
1965,Qtr 4,November,11,-0.7050611861720152,-0.7049511507807994,-0.7058296109780176,-0.7039057534312578
1965,Qtr 4,November,12,-0.7030404253447362,-0.7029303970240033,-0.7038211440597992,-0.7018721357657294
1965,Qtr 4,November,15,-0.7051366517077664,-0.7050266160525026,-0.7059046173963803,-0.7039816991070501
1965,Qtr 4,November,16,-0.7033999672939352,-0.7032899377151932,-0.7041784986269154,-0.7022339652556516
1965,Qtr 4,November,17,-0.7040724388760883,-0.7039624069444214,-0.7048468790250131,-0.7029107153542142
1965,Qtr 4,November,18,-0.7011139863111266,-0.7010039647308518,-0.7019064251001191,-0.699933440004496
1965,Qtr 4,November,19,-0.7023557350690246,-0.702245709143969,-0.7031406193042574,-0.7011830892336973
1965,Qtr 4,November,22,-0.7007588739546073,-0.7006488536168427,-0.7015534731769171,-0.6995760682899832
1965,Qtr 4,November,24,-0.6995659455956038,-0.6994559294318015,-0.7003678023580258,-0.6983755500733636
1965,Qtr 4,November,25,-0.7027685404371774,-0.7026585130677484,-0.7035509132462249,-0.7015985210244209
1965,Qtr 4,November,26,-0.7016177812633891,-0.7015077579203756,-0.7024071550635692,-0.7004404402891881
1965,Qtr 4,November,29,-0.6989678152003522,-0.698857801129361,-0.6997733108697575,-0.6977736141482145
1965,Qtr 4,November,30,-0.6974863674078418,-0.6973763585203194,-0.6983008759125082,-0.6962827408292457
1965,Qtr 4,December,1,-0.696985891237759,-0.6968758841013633,-0.6978034445404238,-0.6957790804420703
1965,Qtr 4,December,2,-0.6935014416037374,-0.6933914466591563,-0.6943401936085685,-0.6922724614326685
1965,Qtr 4,December,3,-0.6971090663619048,-0.6969990587945293,-0.697925870291485,-0.6959030392525515
1965,Qtr 4,December,6,-0.7039115376977566,-0.7038015063290702,-0.7046869567376156,-0.7027487904622417
1965,Qtr 4,December,7,-0.7001341118498787,-0.7000240936981076,-0.700932512001223,-0.6989473312144334
1965,Qtr 4,December,8,-0.6991930877916664,-0.6990830729324642,-0.6999972129471969,-0.6980003200082409
1965,Qtr 4,December,9,-0.7022669671059146,-0.7021569414914511,-0.703052391387872,-0.7010937564955144
1965,Qtr 4,December,10,-0.7017276541821164,-0.7016176304546661,-0.7025163595371975,-0.700551012260631
1965,Qtr 4,December,13,-0.7011605850890213,-0.7010505633457013,-0.701952740380269,-0.699980335261292
1965,Qtr 4,December,14,-0.7002972481875599,-0.7001872294649876,-0.7010946558497027,-0.6991115054866776
1965,Qtr 4,December,15,-0.6986349049606303,-0.6985248920544658,-0.6994424259900668,-0.6974385858086928
1965,Qtr 4,December,16,-0.6974353254989175,-0.6973253167899868,-0.6982501445324591,-0.6962313741725541
1965,Qtr 4,December,17,-0.6978547956190994,-0.697744785442476,-0.6986670626794231,-0.6966535131189587
1965,Qtr 4,December,20,-0.6981233345568089,-0.6980133234405888,-0.6989339678793666,-0.6969237606021028
1965,Qtr 4,December,21,-0.6983952193533977,-0.698285207285874,-0.6992041985826459,-0.6971973752317352
1965,Qtr 4,December,22,-0.6974164557026497,-0.697306447059743,-0.6982313895362985,-0.6962123843195654
1965,Qtr 4,December,24,-0.6956964194640864,-0.695586416839451,-0.6965218176578971,-0.6944814045653699
1965,Qtr 4,December,27,-0.6930908440962945,-0.6929808505883617,-0.693932094095123,-0.6918592515498927
1965,Qtr 4,December,28,-0.6925293425940485,-0.6924193510507654,-0.6933740086569223,-0.691294177564504
1965,Qtr 4,December,29,-0.6925293425940485,-0.6924193510507654,-0.6933740086569223,-0.691294177564504
1965,Qtr 4,December,30,-0.6925293425940485,-0.6924193510507654,-0.6933740086569223,-0.691294177564504
1965,Qtr 4,December,31,-0.7911972743382063,-0.7910869375636109,-0.7914416642260497,-0.790589871694852
1966,Qtr 1,January,3,-0.7913615078370675,-0.7912511704878321,-0.7916048985607979,-0.7907551501088271
1966,Qtr 1,January,4,-1.4824560013055303,-1.4822356774334355,-1.4835527874303258,-1.4806053494994824
1966,Qtr 1,January,5,-1.4837854275235633,-1.483565098999911,-1.4848741256822786,-1.4819432340257026
1966,Qtr 1,January,6,-1.481452841104655,-1.4812325207425385,-1.4825557302576349,-1.4795958068171837
1966,Qtr 1,January,7,-1.4821053388492154,-1.4818850162040609,-1.4832042583350158,-1.4802524559971078
1966,Qtr 1,January,10,-0.790622450101077,-0.7905121153377463,-0.7908703371058486,-0.790011390210344
1966,Qtr 1,January,11,-1.4839263548643022,-1.4837060258475563,-1.4850141956489593,-1.4820850579990368
1966,Qtr 1,January,12,-1.483140691581242,-1.4829203653134697,-1.4842333121858677,-1.4812943960315144
